# Samples: 44745, Average: 144364.2 ns, StdDev: 217339.9 ns, Quartiles: 109411.0/132650.0/159395.0 ns
61968,1
62611,1
62784,1
63248,1
63664,1
64061,1
64259,1
64569,1
64630,1
64694,1
64797,1
64800,1
64835,1
64937,1
65079,1
65232,1
65290,1
65321,1
65418,1
65424,1
65437,1
65444,1
65446,1
65479,1
65540,1
65564,2
65572,1
65584,1
65673,1
65744,1
65750,1
65770,1
65815,1
65821,1
65830,1
65837,1
65866,1
65878,1
65885,1
65894,1
65901,1
65904,1
65916,1
65933,1
65936,2
65942,1
65949,1
65952,1
65974,2
65987,1
65990,1
66007,1
66019,1
66035,1
66044,1
66048,1
66070,1
66076,1
66103,1
66108,1
66147,1
66153,1
66185,1
66192,2
66205,1
66234,1
66240,1
66243,1
66288,1
66295,1
66308,1
66320,1
66326,1
66365,1
66375,1
66397,1
66416,1
66419,1
66461,1
66471,1
66474,1
66493,1
66499,1
66518,1
66521,1
66528,1
66550,1
66566,1
66570,1
66595,1
66596,1
66611,1
66618,1
66627,1
66637,1
66640,2
66646,4
66663,1
66665,2
66672,1
66675,1
66684,1
66685,1
66688,1
66691,1
66698,1
66701,1
66716,1
66723,2
66729,1
66736,1
66755,2
66761,1
66780,1
66781,1
66794,1
66828,1
66832,2
66848,1
66852,1
66857,1
66864,3
66877,1
66883,1
66889,1
66902,1
66909,1
66915,1
66922,1
66957,1
66960,1
66973,2
66980,1
67002,1
67008,1
67024,1
67037,1
67053,1
67056,1
67082,1
67088,1
67095,1
67101,1
67114,1
67120,1
67133,1
67139,2
67140,1
67145,1
67146,2
67155,1
67158,1
67165,1
67171,1
67187,1
67203,1
67216,1
67248,1
67255,1
67267,1
67286,2
67309,1
67312,1
67319,2
67321,1
67328,1
67338,2
67344,2
67351,1
67370,1
67372,1
67398,1
67408,1
67414,1
67443,1
67446,1
67463,1
67466,1
67472,1
67482,1
67488,1
67491,1
67507,2
67510,1
67516,1
67523,3
67530,1
67532,1
67549,3
67565,1
67568,1
67580,1
67581,1
67600,1
67603,1
67612,1
67613,2
67619,1
67632,1
67645,2
67664,1
67667,1
67671,1
67677,1
67680,1
67683,2
67684,1
67693,2
67705,1
67715,1
67721,1
67725,1
67728,1
67731,1
67741,1
67747,1
67760,3
67772,1
67782,1
67786,1
67811,1
67830,1
67834,1
67840,1
67844,1
67859,1
67869,1
67872,1
67875,1
67891,1
67894,1
67901,1
67907,1
67908,1
67914,1
67917,1
67939,1
67946,2
67949,1
67952,1
67955,1
67971,1
67978,1
67984,1
67990,1
67991,1
67997,2
68000,1
68003,1
68016,1
68019,1
68028,1
68038,1
68041,2
68042,1
68048,1
68051,1
68055,1
68070,1
68071,1
68074,1
68080,2
68087,2
68089,1
68093,1
68099,1
68105,1
68112,3
